小区,区域,商圈,在售,在租,建成时间,均价(元/平米),均价环比上月(%)
尚海湾豪庭,徐汇,徐汇滨江,909,739,2017,"
111496","
18.37%"
永兆豪庭,徐汇,漕河泾,466,83,2008,"
59804","
3.94%"
东方曼哈顿,徐汇,徐家汇,443,695,2005,"
97767","
6.14%"
华欣家园,徐汇,华泾,430,91,2005,"
48964","
1.76%"
兆丰环球大厦,徐汇,徐家汇,410,129,1998,"
21902","
0.34%"
徐家汇花园,徐汇,徐家汇,382,322,2014,"
74563","
7.90%"
印象欧洲,徐汇,华泾,372,177,2013,"
56997","
0.19%"
园南二村,徐汇,植物园,357,70,2000,"
66852","
1.07%"
盛大花园,徐汇,徐汇滨江,351,299,2003,"
89402","
1.59%"
百汇园,徐汇,龙华,336,179,2010,"
91188","
0.65%"
光启城,徐汇,万体馆,318,239,2011,"
29462","
0.01%"
盛华景苑,徐汇,华泾,310,159,2013,"
48262","
1.27%"
月季园,徐汇,康健,297,32,1991,"
59228","
1.78%"
上海华宜大厦,徐汇,徐家汇,296,114,2010,"
29237","
1.11%"
莱诗邸,徐汇,徐家汇,292,387,2005,"
106454","
0.4%"
上海主角,徐汇,徐家汇,275,33,2011,"
36465","
2.19%"
爱建园,徐汇,田林,273,138,2003,"
78822","
3.97%"
华沁家园,徐汇,长桥,273,212,2011,"
63236","
8.30%"
中海馨园,徐汇,康健,270,66,2002,"
71121","
1.63%"
江山大厦,徐汇,徐家汇,265,168,1900,"
30911","
0.06%"
万科华尔兹花园,徐汇,田林,259,67,2002,"
85749","
0.02%"
紫阳花苑,徐汇,华泾,258,118,1996,"
44576","
1.08%"
大木小区,徐汇,斜土路,254,151,1984,"
72581","
6.08%"
兆丰帝景苑,徐汇,徐家汇,253,174,2004,"
90718","
0.22%"
上海实业大厦,徐汇,徐家汇,242,152,1996,"
26599","
2.08%"
徐汇苑,徐汇,万体馆,234,636,2010,"
81920","
2.14%"
明申商务广场,徐汇,上海南站,226,13,2006,"
19623","
5.12%"
云锦东方,徐汇,龙华,224,50,2017,"
104934","
1.75%"
飞洲国际广场,徐汇,万体馆,223,89,2005,"
34815","
0.91%"
海珀旭晖,徐汇,龙华,223,389,2014,"
104427","
1.26%"
汇智大厦,徐汇,万体馆,220,37,2007,"
21373","
4.82%"
园南一村,徐汇,植物园,217,66,1988,"
71676","
1.54%"
徐汇馨苑,徐汇,龙华,214,80,2010,"
75200","
3.38%"
宏润花园,徐汇,万体馆,211,200,2004,"
78939","
2.08%"
永新城,徐汇,徐家汇,211,182,2007,"
112122","
3.08%"
光大国际会展中心,徐汇,田林,208,127,1900,"
19737","
0.3%"
